experiment_name,precision,recall,f1
wos_dim.arxiv_wos_matched,0.9964197190856513,0.7790380306689557,0.8744210959494679
wos_dim.arxiv_ds_matched,0.15038764391343462,0.03299747384576487,0.05412012062261056
wos_dim.arxiv_mag_matched,0.9757583652202231,0.7220563463776812,0.829952191279202
wos_dim.wos_ds_matched,0.9965443381975884,0.8352590459686788,0.9088013270237023
wos_dim.wos_mag_matched,0.9959351840618936,0.852540327184077,0.9186758520830381
wos_dim.ds_mag_matched,0.994908805821493,0.8414747924752954,0.911781919297214
