experiment_name,precision,recall,f1
test_generate_metadata.arxiv_wos_dois_matched,0.9964050329538646,0.786425286856115,0.8790495709643736
test_generate_metadata.arxiv_ds_dois_matched,0.1511833096368898,0.03320171932334307,0.054446348938889944
test_generate_metadata.arxiv_mag_dois_matched,0.9758927765382581,0.7290641461987036,0.8346116249860407
test_generate_metadata.wos_ds_dois_matched,0.996549169225552,0.8353767210547032,0.9088729863739978
test_generate_metadata.wos_mag_dois_matched,0.9959360362258357,0.8526283578480571,0.9187273213864507
test_generate_metadata.ds_mag_dois_matched,0.99490803234152,0.8414026459979546,0.9117392397824061
